사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
꿈장학(초중고등학생), 꿈과 가능성이 있는 저소득층 가정의 청소년(중학교 1학년 ~ 고등학교 3학년)," 중학생: 1,800,000원(월 15만원 기준) - 고등학생: 2,400,000원(월 20만원 기준)", 인터넷 접수: http://www.sdream.or.kr - 우편 접수(증비서류): 서울특별시 용산구 후암로 107 게이트웨이타워 20층 - 공고: 매년 3~4월 중,2099-12-31,민간복지(CSV),내용 없음,꿈장학초중고등학생 꿈과 가능성이 있는 저소득층 가정의 청소년중학교 1학년 고등학교 3학년 중학생 1800000원월 15만원 기준 고등학생 2400000원월 20만원 기준
포스코비전장학, 포항 또는 광양시 소재 기초생활수급가정(해당지자체 인정)으로 대학진학예정자, 연간 360만원의 장학금을 7학기까지 지급, 방문접수: 학교 제출,2099-12-31,민간복지(CSV),내용 없음,포스코비전장학 포항 또는 광양시 소재 기초생활수급가정해당지자체 인정으로 대학진학예정자 연간 360만원의 장학금을 7학기까지 지급
SK뉴스쿨, 청년," 1년 동안 요리교육, 인문 예술 교육 등", 이메일 접수 : skhappiness@skhappiness.org,2099-12-31,민간복지(CSV),내용 없음,뉴스쿨 청년 1년 동안 요리교육 인문 예술 교육 등
장학사업," 서울 주요권 대학, 지방 국립대(총 30개 대학) 대학생 및 대학원생", 등록금 전액- 금액 미정, 기타 접수: 학교 추천,2099-12-31,민간복지(CSV),내용 없음,장학사업 서울 주요권 대학 지방 국립대총 30개 대학 대학생 및 대학원생 등록금 전액 금액 미정
행복가정학습지원사업," 아동, 청소년 사업 수행중인 사회복지기관 저소득 아동(만7세~18세)"," 학습물품 구입비 10만원(도서, 학용품, 가방, 교복 등)"," 홈페이지 신청, 사연심사 및 네티즌 추천, 매월 50명 선정 ktngwelfare.org",2099-12-31,민간복지(CSV),내용 없음,행복가정학습지원사업 아동 청소년 사업 수행중인 사회복지기관 저소득 아동만7세18세 학습물품 구입비 10만원도서 학용품 가방 교복 등
소중한 나눔 무한행복, 도움이 필요한 가구, ARS 모금후원금 전달(소중한 나눔 무한행복), 인터넷 사연접수(www.mbn.co.kr > 소나무),2099-12-31,민간복지(CSV),내용 없음,소중한 나눔 무한행복 도움이 필요한 가구 모금후원금 전달소중한 나눔 무한행복
드림클래스," 저소득 가정- 국내 재학중인 대학생(휴학생 신청불가, 차기학기 복학 예정자 지원가능)- 활동기간 중 실습, 인턴, 연수 등 지속활동이 어려울 것으로 예상되는 경우 지원불가ㆍ기초생활수급권자, 차상위계층 가산점 부여"," 방과후 영어, 수학 학습 제공(주중/주말 선택, 총 주 8시간, 방학캠프)- 장학금 지급(대상 중학생 학습 시간당 37,500원)ㆍ타 장학금 중복수혜 여부는 전화문의", 홈페이지(dreamclass.org) 회원가입 후 신청,2099-12-31,민간복지(CSV),내용 없음,드림클래스 저소득 가정 국내 재학중인 대학생휴학생 신청불가 차기학기 복학 예정자 지원가능 활동기간 중 실습 인턴 연수 등 지속활동이 어려울 것으로 예상되는 경우 지원불가기초생활수급권자 차상위계층 가산점 부여 방과후 영어 수학 학습 제공주중주말 선택 총 주 8시간 방학캠프 장학금 지급대상 중학생 학습 시간당 37500원타 장학금 중복수혜 여부는 전화문의
장학사업, 롯데 희망장학금: 전과정(예체능 제외) 및 한국장학재단 소득 3분위 이하 가정학생 - 롯데 미래인재장학금: 전 학과(예체능 제외) 및 성적이 우수한 학생, 장학금 지급- 금액 미정, 인터넷 접수: www.lottefoundation.or.kr - 매년 10~12월 공고,2099-12-31,민간복지(CSV),내용 없음,장학사업 롯데 희망장학금 전과정예체능 제외 및 한국장학재단 소득 3분위 이하 가정학생 롯데 미래인재장학금 전 학과예체능 제외 및 성적이 우수한 학생 장학금 지급 금액 미정
산재 외국인근로자 지원, 산재 외국인 근로자," 국내 취업 중 사망 또는 산재 당한 외국인 근로자를 10개 등급으로 분류해 상해 정도를 확인한 후 소속 주한 대사관 직원의 입회 하에 지원금을 지급- 외국인근로자 무료병원, 무료진료소 의약품 지원- 외국인근로자상담소 지원- 금액 미정", www.lottefoundation.or.kr 본인인증(연중),2099-12-31,민간복지(CSV),내용 없음,산재 외국인근로자 지원 산재 외국인 근로자 국내 취업 중 사망 또는 산재 당한 외국인 근로자를 10개 등급으로 분류해 상해 정도를 확인한 후 소속 주한 대사관 직원의 입회 하에 지원금을 지급 외국인근로자 무료병원 무료진료소 의약품 지원 외국인근로자상담소 지원 금액 미정
소외계층지원," 무의탁독거노인, 저소득층아동, 소년소녀가장, 결식학생, 북한이탈주민, 결핵ㆍ한센병환자, 다문화가정, 노숙자 등", 지원요청 내용 검토 후 결정, 기타 접수: 거주지 관할 시/군/구청장,2099-12-31,민간복지(CSV),내용 없음,소외계층지원 무의탁독거노인 저소득층아동 소년소녀가장 결식학생 북한이탈주민 결핵한센병환자 다문화가정 노숙자 등 지원요청 내용 검토 후 결정
